mera,min,p25,median,mean,p75,p90,p95,max,std
karakteri,6.0,28.0,42.0,57.868,67.0,106.0,139.0,1398.0,66.68746940767808
reci,1.0,5.0,8.0,10.253,12.0,19.0,24.0,224.0,11.012810313448608
karakteri | sentiment=Pozitivno,6.0,27.0,43.0,60.899705014749266,70.0,115.30000000000007,161.14999999999998,965.0,65.99688447930653
karakteri | sentiment=Neutralno,9.0,25.5,38.0,46.16216216216216,59.0,84.0,106.29999999999995,218.0,30.57577812481094
karakteri | sentiment=Negativno,9.0,30.0,46.0,63.658409387222946,72.0,113.39999999999998,146.39999999999986,1398.0,83.24021962555653
karakteri | sarkazam,13.0,29.0,43.0,55.97443762781186,65.0,97.0,119.0,1398.0,75.38685749631992
karakteri | nije sarkazam,6.0,26.0,41.5,59.68003913894325,72.0,117.89999999999998,160.89999999999986,502.0,57.07675311699253
